-12,48
46,18
-30,-100
42,27
44,82
-15,48
-98,-146
121,143
14,58
1,77
-32,-88
-130,-106
-92,-148
-173,-112
27,42
-80,-150
118,201
-71,-149
-50,0
-18,-46
-50,3
-30,-97
-50,0
-39,32
1,77
21,45
-142,81
63,32
-32,-85
-30,-97
-77,-50
-115,-99
21,45
-95,-148
-34,36
69,31
58,207
29,-40
18,54
-101,-55
-130,-103
80,210
-128,-115
3,50
-18,46
6,-51
-74,-50
36,34
74,30
170,126
-8,137
23,189
-43,180
37,199
164,87
-71,-51
3,50
-50,0
168,137
48,-12
169,131
-18,-46
12,-48
166,148
18,186
-44,-66
-1,82
-46,-18
18,54
153,173
157,58
12,-48
18,-46
-56,-56
-124,-99
63,32
-24,44
-71,-149
14,182
-30,-103
123,113
86,210
34,-36
142,54
-68,-52
-116,-134
-40,-71
-24,-44
50,-3
169,109
-32,-112
-107,-142
-133,-122
37,199
50,0
74,30
-36,-76
-46,-136
-30,-103
-120,-129
-74,-150
90,-96
-51,-140
170,120
-89,-149
44,24
-119,-68
-6,148
-30,-97
142,54
-29,17
119,-182
7,67
14,58
42,201
-6,-50
-34,-118
-4,153
-80,-150
-4,87
44,-24
-109,-60
-98,-77
42,201
-40,29
-32,39
-31,-91
-56,-56
-151,191
-18,-46
-128,-183
28,189
118,39
-9,49
-77,-50
-10,120
50,-3
1,163
-89,-51
-114,-64
-50,3
-42,27
27,47
-92,-148
-3,50
74,210
146,182
128,44
23,189
-112,-61
-32,39
69,209
-116,-66
24,-44
-128,-112
146,182
169,131
86,30
74,210
69,31
32,-39
149,63
-51,-60
133,47
-45,21
36,-34
45,21
12,-48
133,193
-36,-34
-56,-144
-9,109
-4,87
-119,-132
32,196
20,-9
-48,-15
86,210
142,186
-65,-148
169,80
153,173
-59,-55
63,208
114,123
-168,-164
-93,-129
-10,120
-119,-132
46,-18
-128,-112
-46,-136
-124,-124
-68,-148
-1,82
24,-96
48,-12
-122,-127
-38,-73
-40,-129
169,131
-124,-124
-129,59
-18,-131
12,48
-62,-146
-50,-3
-56,-56
40,29
-128,-88
29,-40
6,-50
113,-102
32,-39
-30,-103
32,39
-6,-50
75,-7
-68,-148
-59,-145
138,-54
-41,-68
-112,-139
-50,-3
50,-48
-128,-112
149,177
-46,-64
-122,-127
-65,-148
7,173
146,58
6,50
128,196
-41,-68
-64,102
-67,-101
29,-40
52,206
13,32
-27,42
-86,-50
-3,-50
47,36
-51,-60
42,27
-89,-149
12,48
-130,-97
142,186
141,64
118,39
7,173
32,44
-116,-66
-10,126
-45,-21
27,47
-40,-129
-100,-176
23,51
-130,-100
-172,-122
11,63
-9,-49
69,31
-122,-127
80,15
-49,9
113,204
-6,-50
-39,32
108,206
-65,-52
58,33
-46,-18
12,-48
-92,-148
-128,-85
12,-48
-36,-34
-141,79
-38,-73
27,42
-44,-66
-9,49
42,201
18,46
50,-6
24,-44
7,67
93,58
-153,-140
63,32
-130,-97
-60,141
-46,-64
-83,65
23,189
44,24
-42,-27
-79,-161
-36,-34
40,-29
9,49
-5,40
4,168
-48,-15
-178,113
-34,-82
-116,-66
-36,-124
-30,-94
-29,40
168,137
-80,-150
-128,-85
74,30
50,-6
-36,-76
42,39
-44,-24
27,42
-8,103
39,32
-44,-134
-12,-48
-44,-77
149,-47
52,206
50,3
-30,-106
23,189
-54,56
-4,87
-32,-115
32,196
27,47
9,49
-42,27
18,46
80,30
80,30
45,-21
-147,7
-130,-106
156,72
27,42
-3,-50
88,-102
