what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358606921780
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1358606921780
java.vm.specification.version,sysinfo,,,"1.7",1358606921780
java.vm.vendor,sysinfo,,,"Oracle Corporation",1358606921780
java.vm.version,sysinfo,,,"23.6-b04",1358606921780
started,bundle,com.aptana.console,3.0.0.1337406272,"com.aptana.console",1358606923012
started,bundle,org.python.pydev.core,2.7.0.2012080220,"org.python.pydev.core",1358606923886
started,bundle,org.python.pydev.debug,2.7.0.2012080220,"org.python.pydev.debug",1358606923995
started,bundle,com.python.pydev.analysis,2.7.0.2012080220,"com.python.pydev.analysis",1358606924931
started,bundle,org.python.pydev,2.7.0.2012080220,"org.python.pydev",1358606925430
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1358606925508
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1358606927754
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1358606927973
started,bundle,com.aptana.debug.core,3.0.3.1337406272,"com.aptana.debug.core",1358606928971
started,bundle,com.aptana.js.debug.core,3.0.3.1337406272,"com.aptana.js.debug.core",1358606929034
started,bundle,com.aptana.webserver.core,3.0.0.1337406272,"com.aptana.webserver.core",1358606929080
started,bundle,com.aptana.js.debug.ui,3.0.0.1337406272,"com.aptana.js.debug.ui",1358606929096
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1358606935196
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358606953791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358606953900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607119837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607148339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607428281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607429888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607501945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607507311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358607546904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607548027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607560367
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1358607561349
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1358607561381
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358607567184
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358607567449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607579336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607643140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607643796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607654622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607674964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607803119
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358607806379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607811340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358607837704
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1358607839046
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1358607839061
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1358607839264
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1358607839420
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1358607839467
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1358607839498
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1358607839498
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1358607839592
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1358607839592
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1358607839654
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1358607839685
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358607840372
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358607840621
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358607840652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358607843757
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1358607934174
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1358607936764
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1358607936967
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1358607937232
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1358607937450
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1358608092718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1358608093045
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1358608093248
started,bundle,com.aptana.deploy.ui,1.0.0.1342747641,"com.aptana.deploy.ui",1358608150859
started,bundle,com.aptana.deploy,3.0.3.1338904888,"com.aptana.deploy",1358608150906
started,bundle,com.aptana.deploy.engineyard,3.0.3.1342747641,"com.aptana.deploy.engineyard",1358608150937
started,bundle,com.aptana.deploy.ftp,3.0.3.1342747641,"com.aptana.deploy.ftp",1358608151030
started,bundle,com.aptana.deploy.heroku,3.0.3.1342747641,"com.aptana.deploy.heroku",1358608151062
started,bundle,com.aptana.deploy.capistrano,3.0.3.1339628739,"com.aptana.deploy.capistrano",1358608151155
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1358608163588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358608174883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358608193712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358608211683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358608211949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358608212385
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1358608217674
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1358608228453
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1358608228703
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1358608228765
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1358608230029
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1358608230029
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1358608230091
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1358608230201
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1358608230232
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1358608230247
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1358608230466
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1358608230513
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1358608243398
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1358608243429
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1358608243507
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1358608243617
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1358608243617
started,bundle,org.eclipse.mylyn.java.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.ui",1358608243632
started,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1358608243773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358608258000
